id,title,type,description,source_id,degree,human_readable_id,community,level,node_details
cb82fcaaf5114a22a496f8e211df3413,PROJECT GUTENBERG,ORGANIZATION,"Project Gutenberg is a digital library offering free access to a wide range of electronic works, promoting the sharing of literary works while adhering to copyright laws.Project Gutenberg is a non-profit organization that provides free access to electronic works and is supported by volunteers and donations.Project Gutenberg is a digital library offering free eBooks, including classic literature like A Christmas Carol.","ec4b1f79225d4475885a33e3aa35b3fc,2f28d98a60c74c1894e310963ec64455,47138a6d6a684bb7b5b021e74c00ddce",5,0,,0,"{'human_readable_id': 0, 'title': 'PROJECT GUTENBERG', 'description': 'Project Gutenberg is a digital library offering free access to a wide range of electronic works, promoting the sharing of literary works while adhering to copyright laws.Project Gutenberg is a non-profit organization that provides free access to electronic works and is supported by volunteers and donations.Project Gutenberg is a digital library offering free eBooks, including classic literature like A Christmas Carol.', 'degree': 5}"
821c0677110e48888596eda95cadfb4f,CHARLES DICKENS,PERSON,"Charles Dickens is the author of A Christmas Carol, a classic novella published in 1843.",ec4b1f79225d4475885a33e3aa35b3fc,1,1,,0,"{'human_readable_id': 1, 'title': 'CHARLES DICKENS', 'description': 'Charles Dickens is the author of A Christmas Carol, a classic novella published in 1843.', 'degree': 1}"
1917fe1b1f2743b0b681cbbf565bf7af,A CHRISTMAS CAROL,EVENT,A Christmas Carol is a novella by Charles Dickens that tells the story of Ebenezer Scrooge's transformation after being visited by three spirits.,ec4b1f79225d4475885a33e3aa35b3fc,10,2,,0,"{'human_readable_id': 2, 'title': 'A CHRISTMAS CAROL', 'description': ""A Christmas Carol is a novella by Charles Dickens that tells the story of Ebenezer Scrooge's transformation after being visited by three spirits."", 'degree': 10}"
58acac32776d4c4faa720258c850feb7,ARTHUR RACKHAM,PERSON,Arthur Rackham is the illustrator of the edition of A Christmas Carol referenced in the Project Gutenberg eBook.,ec4b1f79225d4475885a33e3aa35b3fc,1,3,,0,"{'human_readable_id': 3, 'title': 'ARTHUR RACKHAM', 'description': 'Arthur Rackham is the illustrator of the edition of A Christmas Carol referenced in the Project Gutenberg eBook.', 'degree': 1}"
32e60eb642cd46b3817443828f96c944,EBENEZER SCROOGE,PERSON,"Ebenezer Scrooge is a miserly businessman who is visited by the ghost of Jacob Marley.Ebenezer Scrooge is the main character in A Christmas Carol, known for his miserly ways and eventual redemption.Ebenezer Scrooge is the main character who undergoes a transformation and reflects on his life and choices during the story.","b34cd7d4e58c4d45b2f6cf9de9d48cf7,58830003b37f4968a46cdb26a8a1b889,ec4b1f79225d4475885a33e3aa35b3fc",10,4,,0,"{'human_readable_id': 4, 'title': 'EBENEZER SCROOGE', 'description': 'Ebenezer Scrooge is a miserly businessman who is visited by the ghost of Jacob Marley.Ebenezer Scrooge is the main character in A Christmas Carol, known for his miserly ways and eventual redemption.Ebenezer Scrooge is the main character who undergoes a transformation and reflects on his life and choices during the story.', 'degree': 10}"
68a36e2768654ee097c433a695299293,BOB CRATCHIT,PERSON,"Bob Cratchit is an employee of Scrooge who struggles to support his family, representing the plight of the working class.Bob Cratchit is Scrooge's underpaid clerk, who is a central figure representing the struggles of the working class and the importance of family.Bob Cratchit is Scrooge's clerk, who struggles to provide for his family on a limited income.Bob Cratchit is the husband of Mrs. Cratchit and father to the Cratchit children, who tries to keep peace during the Christmas dinner.Bob Cratchit is Scrooge's employee who is often late to work and has a struggling family.Bob Cratchit is a character who is the father of the Cratchit family and works for Mr. Scrooge. He is depicted as kind and caring, especially towards his family.Bob Cratchit is Scrooge's clerk, who is expected to work on Christmas but is given the day off reluctantly by Scrooge.Bob Cratchit is the father of the Cratchit family, known for his humble and loving nature.Bob Cratchit is a clerk to Ebenezer Scrooge and a character in A Christmas Carol, representing the struggles of the working class.Bob Cratchit is the father of Tiny Tim and works for Mr. Scrooge, representing the struggles of the working class.Bob Cratchit is a character who is a father and husband, known for his kindness and love for his family, particularly his sick child, Tiny Tim.","b66dd745bf624e80a306cd171c42f8c7,aab144ec5520470c93803d9a07da702e,1e5d6680637e407caeada83abe186569,de9ae10ed54946ca80d2844f8e13cbd4,86685be34b9147379f3a64232b3de036,223d50e5cfea4eebbcb5a1d9c7d6a040,1690f3cd9c324d06baf94cdfa0d22aab,af05331f4a1a4f74bfb46c700cbf9275,ec4b1f79225d4475885a33e3aa35b3fc,f6f69b1df9af4c01834f8ca204e26a68,484ea66bd6a84db4a1ed9670d4aa678c",14,5,29,2,"{'human_readable_id': 5, 'title': 'BOB CRATCHIT', 'description': ""Bob Cratchit is an employee of Scrooge who struggles to support his family, representing the plight of the working class.Bob Cratchit is Scrooge's underpaid clerk, who is a central figure representing the struggles of the working class and the importance of family.Bob Cratchit is Scrooge's clerk, who struggles to provide for his family on a limited income.Bob Cratchit is the husband of Mrs. Cratchit and father to the Cratchit children, who tries to keep peace during the Christmas dinner.Bob Cratchit is Scrooge's employee who is often late to work and has a struggling family.Bob Cratchit is a character who is the father of the Cratchit family and works for Mr. Scrooge. He is depicted as kind and caring, especially towards his family.Bob Cratchit is Scrooge's clerk, who is expected to work on Christmas but is given the day off reluctantly by Scrooge.Bob Cratchit is the father of the Cratchit family, known for his humble and loving nature.Bob Cratchit is a clerk to Ebenezer Scrooge and a character in A Christmas Carol, representing the struggles of the working class.Bob Cratchit is the father of Tiny Tim and works for Mr. Scrooge, representing the struggles of the working class.Bob Cratchit is a character who is a father and husband, known for his kindness and love for his family, particularly his sick child, Tiny Tim."", 'degree': 14}"
c72595cfd9f64bc48d60f18c1c671acd,FRED,PERSON,"Fred is Scrooge's nephew, who embodies the spirit of Christmas and laughter, contrasting with Scrooge's initial cynicism.Fred is Scrooge's nephew who invites him to dinner and represents the spirit of Christmas.Fred is Ebenezer Scrooge's nephew, who embodies the spirit of Christmas and kindness in A Christmas Carol.Fred is Scrooge's nephew, who expresses concern for his uncle's well-being and invites him to join family gatherings.Fred is Scrooge's nephew who enjoys Christmas and tries to include his uncle in the festivities.","39547542a64b49cfaaa8cae9469fa45c,8727b4734d2849bea2ad3bb31f5c4e21,223d50e5cfea4eebbcb5a1d9c7d6a040,ec4b1f79225d4475885a33e3aa35b3fc,f40ab074cdfe44ee98bd9250ca912ed6",6,6,,0,"{'human_readable_id': 6, 'title': 'FRED', 'description': ""Fred is Scrooge's nephew, who embodies the spirit of Christmas and laughter, contrasting with Scrooge's initial cynicism.Fred is Scrooge's nephew who invites him to dinner and represents the spirit of Christmas.Fred is Ebenezer Scrooge's nephew, who embodies the spirit of Christmas and kindness in A Christmas Carol.Fred is Scrooge's nephew, who expresses concern for his uncle's well-being and invites him to join family gatherings.Fred is Scrooge's nephew who enjoys Christmas and tries to include his uncle in the festivities."", 'degree': 6}"
0c260d4b5f284ac6bc26f74690b579f2,GHOST OF CHRISTMAS PAST,EVENT,"The Ghost of Christmas Past is a supernatural being that shows Scrooge scenes from his earlier life to evoke feelings of reflection and remorse.The Ghost of Christmas Past is one of the three spirits that visit Scrooge, showing him his past.The Ghost of Christmas Past is a supernatural figure that reminds Scrooge of his past and the kindness he could have cultivated in his life.The Ghost of Christmas Past is a supernatural being that shows Scrooge scenes from his past to evoke reflection and change.The Ghost of Christmas Past is a spirit that visits Scrooge to guide him through memories of his past.The Ghost of Christmas Past is the spirit that shows Scrooge his past life and the choices that led him to his current state.","58830003b37f4968a46cdb26a8a1b889,eb9ec896e8fa408a8ccf9d2a6425ea62,09033c9ba42649b790c231c76a842ea8,8727b4734d2849bea2ad3bb31f5c4e21,ec4b1f79225d4475885a33e3aa35b3fc,1444436f1ab2436e8045954b9b525b97",7,7,,0,"{'human_readable_id': 7, 'title': 'GHOST OF CHRISTMAS PAST', 'description': 'The Ghost of Christmas Past is a supernatural being that shows Scrooge scenes from his earlier life to evoke feelings of reflection and remorse.The Ghost of Christmas Past is one of the three spirits that visit Scrooge, showing him his past.The Ghost of Christmas Past is a supernatural figure that reminds Scrooge of his past and the kindness he could have cultivated in his life.The Ghost of Christmas Past is a supernatural being that shows Scrooge scenes from his past to evoke reflection and change.The Ghost of Christmas Past is a spirit that visits Scrooge to guide him through memories of his past.The Ghost of Christmas Past is the spirit that shows Scrooge his past life and the choices that led him to his current state.', 'degree': 7}"
baec6dc9e8104026abaf729760859e0a,GHOST OF CHRISTMAS PRESENT,EVENT,"The Ghost of Christmas Present is a spirit that appears to Scrooge to teach him about generosity and the joy of the present.The Ghost of Christmas Present is a spirit that shows Scrooge the joy and struggles of people during Christmas.The Ghost of Christmas Present is a spirit that shows Scrooge the joys and festivities of Christmas, including the importance of family.The Ghost of Christmas Present is a spirit that shows Scrooge the joy and warmth of Christmas celebrations.The Ghost of Christmas Present is one of the spirits that shows Scrooge the joy and generosity of the present time.The Ghost of Christmas Present is another spirit that visits Scrooge, revealing the current joys and struggles of others.","58830003b37f4968a46cdb26a8a1b889,86685be34b9147379f3a64232b3de036,a6a6c23a41a64c52b3fa6d071878e411,ec4b1f79225d4475885a33e3aa35b3fc,7f0cac54757f4b6394354acbb468a872,f40ab074cdfe44ee98bd9250ca912ed6",12,8,,0,"{'human_readable_id': 8, 'title': 'GHOST OF CHRISTMAS PRESENT', 'description': 'The Ghost of Christmas Present is a spirit that appears to Scrooge to teach him about generosity and the joy of the present.The Ghost of Christmas Present is a spirit that shows Scrooge the joy and struggles of people during Christmas.The Ghost of Christmas Present is a spirit that shows Scrooge the joys and festivities of Christmas, including the importance of family.The Ghost of Christmas Present is a spirit that shows Scrooge the joy and warmth of Christmas celebrations.The Ghost of Christmas Present is one of the spirits that shows Scrooge the joy and generosity of the present time.The Ghost of Christmas Present is another spirit that visits Scrooge, revealing the current joys and struggles of others.', 'degree': 12}"
1013281e9b734dbfa111b3ec2a6d3c31,GHOST OF CHRISTMAS YET TO COME,EVENT,The Ghost of Christmas Yet to Come is the final spirit that shows Scrooge the potential consequences of his actions.The Ghost of Christmas Yet to Come is a spectral figure that shows Scrooge visions of his future and the consequences of his actions.The Ghost of Christmas Yet to Come is a spectral figure that shows Scrooge the potential future consequences of his current life choices.,"ec4b1f79225d4475885a33e3aa35b3fc,e7e9ce0a599e4bf78a0d034b7de5bf9b,1e5d6680637e407caeada83abe186569",6,9,,0,"{'human_readable_id': 9, 'title': 'GHOST OF CHRISTMAS YET TO COME', 'description': 'The Ghost of Christmas Yet to Come is the final spirit that shows Scrooge the potential consequences of his actions.The Ghost of Christmas Yet to Come is a spectral figure that shows Scrooge visions of his future and the consequences of his actions.The Ghost of Christmas Yet to Come is a spectral figure that shows Scrooge the potential future consequences of his current life choices.', 'degree': 6}"
